url_slug,name,address,street,city,state,zip_code,phone,website,architect,architect_alt,public_private,hole,year_built,guest_policy,credit_card,golf_season,range,rental_club,pro_in_house,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,top_100_ranking,_source
widgi-creek-golf-club,Widgi Creek Golf Club,18707 SW Century Dr,18707 Century Dr,Bend,Oregon,97702,(541) 382-4449,www.widgi.com,Robert Muir Graves,"Robert Muir Graves, ASGCA",Semi-Private,18,1991,Open,"VISA, MasterCard Welcomed",Open: 3/01 Closed: 10/31,Yes,Yes,,No,$,$$,Yes,Yes,72,6911,134,73.40,72,6483,132,71.30,72,5070,124,69.20,,courses-data-18139
tokatee-golf-club,Tokatee Golf Club,54947 McKenzie Hwy,54947 McKenzie Hwy,Blue River,Oregon,97413,(541) 822-3220,www.tokatee.com,Ted Robinson,"Ted Robinson, ASGCA",Public,18,1966,Open,"VISA, MasterCard Welcomed",Open: 2/01 Closed: 11/15,Yes,Yes,,Yes,$,$,Yes,Yes,72,6830,126,72.00,72,6245,119,69.70,72,5651,115,71.20,,courses-data-18139
willow-run-golf-course,Willow Run Golf Course,78873 Toms Camp Rd,78873 Toms Camp Rd,Boardman,Oregon,97818,(541) 481-4381,,Dallas Wilson,Dallas Wilson,Public,9,1972,Open,None,Open: 3/01 Closed: 11/30,No,Yes,,Yes,$,$,No,Yes,,,,,,,,,,,,,,courses-data-18139
greenlea-golf-course,Greenlea Golf Course,26736 SE Kelso Rd,26736 SE Kelso Rd,Boring,Oregon,97009,(503) 663-3934,www.greenleagolfcourse.com,Walter Marken,Walter Markham,Public,9,1978,Open,None,Open: 2/12 Closed: 11/25,No,Yes,,Yes,$,$,No,No,,,,,30,3150,,,30,3150,,,,courses-data-18139
mountain-view-golf-club,Mountain View Golf Club,27195 SE Kelso Rd,27195 SE Kelso Rd,Boring,Oregon,97009,(503) 663-4869,,,Jack Waltmire,Public,18,,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,71,5936,119,68.70,71,5543,115,66.10,73,5197,113,69.20,,courses-data-18139
willamette-valley-country-club,Willamette Valley Country Club,2396 N Maple St,900 Country Club Pl,Canby,Oregon,97013,(503) 266-2102,www.williamettevalleycc.com,Shirley Stone,Shirley Stone,Private,18,1946,Reciprocal,None,year round,Yes,Yes,,No,$,$,Yes,Yes,72,7008,132,74.20,72,6401,131,71.20,72,5509,124,71.80,,courses-data-18139
frontier-golf-course,Frontier Golf Course,2965 N Holly St,2965 N Holly St,Canby,Oregon,97013,(503) 266-4435,www.pasturegolf.com,Joe Sisul,Joe Sisul,Public,9,1964,Open,None,Open: 3/01 Closed: 11/01,No,Yes,,No,$,$,No,No,,,,,27,1069,,,27,1069,,,,courses-data-18139
illinois-valley-golf-course,Illinois Valley Golf Course,25320 Redwood Hwy,Redwood Hwy and Laurel Rd,Cave Junction,Oregon,97523,(541) 592-3151,,Bob E. & Robert L. Baldock,Bob E. Baldock/Robert L. Baldock,Semi-Private,9,1977,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,36,3049,126,34.90,36,2727,118,36.20,,courses-data-18139
laurel-hill-golf-course,Laurel Hill Golf Course,9450 Old Stage Rd,9450 Old Stage Rd,Central Point,Oregon,97502,(541) 855-7965,,Harvey Granger,Harvey Granger,Public,9,1975,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,No,,,,,31,1915,102,31.00,31,1915,103,31.10,,courses-data-18139
sah-hah-lee-golf-course,Sah-Hah-Lee Golf Course,17104 SE 130th Ave,17104 SE 130th Ave,Clackamas,Oregon,97015,(503) 655-9249,sah-hah-lee.com,Bud & Steve Lisac,Bud Lisac/Steve Lisac,Public,18,1991,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,No,,,,,54,2477,,,54,2294,,,,courses-data-18139
watson-ranch-golf,Watson Ranch Golf,93884 Coos Sumner Ln,999 Coos City Sumner Rd,Coos Bay,Oregon,97420,(541) 267-7257,www.watsonranchgolf.com,H. Chandler Egan,"H. Chandler Egen/William G. Robinson, ASGCA",Private,18,1923,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,No,,Yes,$,$,Yes,Yes,70,6032,131,69.70,70,5673,124,68.10,71,5166,125,70.80,,courses-data-18139
sunset-bay-golf-course,Sunset Bay Golf Course,89516 Cape Arago Hwy,11001 Cape Arago Hwy,Coos Bay,Oregon,97420,(541) 888-9301,www.sunsetbaygolf.com,John Zoller,John Zoller,Public,9,1969,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,3020,,34.00,36,2609,,34.90,,courses-data-18139
coquille-valley-elk-golf-course,Coquille Valley Elk Golf Course,54942 Maple Heights Rd,HC 83,Coquille,Oregon,97423,(541) 572-5367,,Clarence Sutton,Clarence Sutton,Private,9,,Closed,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,33,2216,103,31.30,35,2165,101,33.00,,courses-data-18139
pumpkin-ridge-golf-club-ghost-creek,"Pumpkin Ridge Golf Club, Ghost Creek",12930 NW Old Pumpkin Ridge Rd,12930 Old Pumpkin Ridge Rd,Cornelius,Oregon,97113,(503) 647-9977,www.pumpkinridge.com,Bob Cupp,"Robert E. Cupp, ASGCA",Public,18,1991,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Yes,71,6839,135,73.60,71,6451,132,71.40,71,5206,125,70.40,,courses-data-18139
pumpkin-ridge-golf-club-witch-hollow,"Pumpkin Ridge Golf Club, Witch Hollow",12930 NW Old Pumpkin Ridge Rd,12930 Old Pumpkin Ridge Rd,Cornelius,Oregon,97113,(503) 647-9977,www.pumpkinridge.com,Bob Cupp,"Robert E. Cupp, ASGCA",Public,18,1991,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Yes,71,6839,135,73.60,71,6451,132,71.40,71,5206,125,70.40,,courses-data-18139
forest-hills-country-club,Forest Hills Country Club,36260 SW Tongue Ln,36260 SW Tongue Ln,Cornelius,Oregon,97113,(503) 357-3347,www.golfforesthills.com,William F. & William P. Bell,"William F. Bell, ASGCA/William P. Bell, ASGCA",Semi-Private,18,1953,Open,"VISA, MasterCard, Amex Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,,,,,72,6173,122,69.70,74,5673,114,71.70,,courses-data-18139
corvallis-country-club,Corvallis Country Club,1850 SW Whiteside Dr,1850 SW Whiteside Dr,Corvallis,Oregon,97333,(541) 752-3484,www.corvalliscountryclub.org,,,Private,18,1917,Reciprocal,None,year round,Yes,Yes,,No,$,$,Yes,Yes,71,6045,126,69.50,71,5825,125,68.90,74,5441,117,71.10,,courses-data-18139
golf-city-par-3,Golf City Par-3,2115 NE Highway 20,2115 NE Hwy 20,Corvallis,Oregon,97330,(541) 753-6213,,Ed Burns,Ed Burns,Public,9,1977,Open,None,year round,No,Yes,,No,$,$,No,No,,,,,28,801,,,28,801,,,,courses-data-18139
marysville-golf-course,Marysville Golf Course,2020 SW Allen St,2020 SW Allen St,Corvallis,Oregon,97333,(541) 753-3421,,Fred Federspiel,Fred Federspiel,Public,9,1958,Open,None,year round,No,Yes,,Yes,$,$,No,Yes,,,,,36,3166,114,34.50,39,2666,109,34.50,,courses-data-18139
trysting-tree-golf-club,Trysting Tree Golf Club,34028 NE Electric Rd,34028 NE Electric Rd,Corvallis,Oregon,97333,(541) 752-3332,www.TrystingTree.com,Ted Robinson,"Ted Robinson, ASGCA",Public,18,1988,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,7014,127,73.10,72,6682,127,71.40,72,5516,118,71.30,,courses-data-18139
hidden-valley-golf-course,Hidden Valley Golf Course,775 N River Rd,775 N River Rd,Cottage Grove,Oregon,97424,(541) 942-3046,www.playhiddenvalleygolf.com,Ray Vincent,Ray Vincent,Public,9,1928,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,35,2771,108,33.30,36,2355,114,34.20,,courses-data-18139
middlefield-golf-course,Middlefield Golf Course,91 Village Dr,91 Village Dr,Cottage Grove,Oregon,97424,(541) 942-8730,www.middlefieldgolf.com,Gene Bunny Mason,Gene Mason,Public,18,1991,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,67,4905,104,63.70,67,4260,102,63.40,,courses-data-18139
emerald-valley-golf-course,Emerald Valley Golf Course,83301 Dale Kuni Rd,83301 Dale Kuni Rd,Creswell,Oregon,97426,(541) 895-2174,www.emeraldvalleygolf.com,Bob E. Baldock,Bob E. Baldock,Semi-Private,18,1966,Open,"VISA, MasterCard, Amex Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6873,126,73.00,72,6388,122,70.80,73,5371,129,74.70,,courses-data-18139
crooked-river-ranch-golf-club,Crooked River Ranch Golf Club,5195 Club House Rd,5195 Club House Rd,Crooked River Ranch,Oregon,97760,(541) 923-6343,www.crookedriverranch.com,Gene Bunny Mason & Jim Ramey,Gene Mason/Jim Ramey,Public,18,1979,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,71,5661,107,66.30,71,5355,101,65.00,71,5000,111,67.40,,courses-data-18139
cross-creek-golf-course,Cross Creek Golf Course,13935 Highway 22,13935 Hwy 22,Dallas,Oregon,97338,(503) 623-6666,www.crosscreekgc.com,Bill Robinson,"William G. Robinson, ASGCA/Tim Tarpley",Public,9,1998,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,36,3409,113,35.80,36,3150,112,34.50,36,2824,114,35.70,,courses-data-18139
dallas-golf-club,Dallas Golf Club,11875 Orrs Corner Rd,11875 Orr Corner Rd,Dallas,Oregon,97338,(503) 623-6832,,,,Public,9,1989,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,31,2031,91,29.10,31,1882,,,,courses-data-18139
eagle-creek-golf-course,Eagle Creek Golf Course,25805 SE Dowty Rd,25805 SE Dowty Rd,Eagle Creek,Oregon,97022,(503) 630-4676,,Frank Bastasch,Frank Bastasch,Public,9,1993,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,35,3179,,,35,2878,,,,courses-data-18139
eagle-point-golf-course,Eagle Point Golf Course,100 Eagle Point Dr,100 Eagle Point Dr,Eagle Point,Oregon,97524,(541) 826-8225,www.eaglepointgolf.com,"Robert Trent Jones, Jr.","Robert Trent Jones, Jr., ASGCA",Public,18,1996,Open,"VISA, MasterCard, Amex Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,7099,131,74.30,72,6576,129,71.70,72,5071,113,68.90,,courses-data-18139
stone-ridge-golf-club,Stone Ridge Golf Club,500 E Antelope Rd,500 E Antelope,Eagle Point,Oregon,97524,(541) 830-4653,stoneridgegolfcourse.com,Jim Cochran,James A. Cochran,Public,18,1995,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6738,132,72.50,72,6312,127,70.60,72,4986,120,70.60,,courses-data-18139
echo-hills-municipal-golf-course,Echo Hills Municipal Golf Course,400 Golf Course Rd,100 Golf Course Rd,Echo,Oregon,97826,(541) 376-8244,www.echo-oregon.com,,,Public,9,1940,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,36,2884,113,34.10,37,2607,117,34.40,,courses-data-18139
alpine-meadows-golf-club,Alpine Meadows Golf Club,66098 Golf Course Rd,66098 Golf Course Rd.,Enterprise,Oregon,97828,(541) 426-3246,www.alpinemeadowsgolfcourse.com,,,Public,9,1926,Open,None,Open: 4/01 Closed: 10/15,No,Yes,,Yes,$,$,No,Yes,,,,,36,3033,113,33.40,38,2806,116,35.00,,courses-data-18139
springwater-golf-course,Springwater Golf Course,25230 S Wallens Rd,25230 S Wallens Rd,Estacada,Oregon,97023,(503) 630-4586,,,,Public,9,1962,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,3030,124,34.40,36,2479,116,36.40,,courses-data-18139
eugene-country-club,Eugene Country Club,255 Country Club Rd,255 Country Club Rd,Eugene,Oregon,97401,(541) 344-5124,www.eugenecountryclub.com,H. Chandler Egan,"Robert Trent Jones, ASGCA",Private,18,1927,Reciprocal,None,year round,Yes,Yes,,No,$$$,$$$,Yes,Yes,72,6847,136,73.90,72,6409,133,71.70,72,5618,135,73.40,,courses-data-18139
eugene-eagles-#275-foe,Eugene Eagles #275 FOE,1375 Irving Rd,1375 Irving Rd,Eugene,Oregon,97404,(541) 688-9471,,,,Private,9,,Closed,None,year round,No,Yes,,No,$,$,No,No,,,,,27,1295,,,29,1295,,,,courses-data-18139
fiddlers-green-golf-club,Fiddler's Green Golf Club,91292 Highway 99 N,91292 Hwy 99 No,Eugene,Oregon,97402,(800) 548-5500,www.fiddlersgreen.com,John Zoller,Fuzzy Zoeller,Public,18,1964,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,No,No,,,,,54,2378,,,54,2378,,,,courses-data-18139
laurelwood-golf-course,Laurelwood Golf Course,2700 Columbia St,2700 Columbia St,Eugene,Oregon,97403,(541) 484-4653,www.golflaurelwood.com,Clarence Sutton,Clarence Sutton,Public,9,,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,35,2902,135,35.40,35,2659,116,34.20,35,2374,127,35.30,,courses-data-18139
oakway-golf-course,Oakway Golf Course,2000 Cal Young Rd Ste F,2000 Cal Young Rd,Eugene,Oregon,97401,(541) 484-1927,www.oakwaygolf.com,,John Zoller,Public,18,1947,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,No,Yes,,,,,61,3576,91,58.60,61,3249,92,59.00,,courses-data-18139
riverridge-golf-complex-riverridge,"RiverRidge Golf Complex, RiverRidge",3800 N Delta Hwy,3800 N Delta Hwy,Eugene,Oregon,97408,(541) 345-9160,riverridgeor.com,Rick Jeffries,Rick Jeffries,Public,18,1989,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,71,6256,116,68.60,71,6007,112,67.20,71,5166,112,67.70,,courses-data-18139
riverridge-golf-complex-shortridge,"RiverRidge Golf Complex, ShortRidge",3800 N Delta Hwy,3800 N Delta Hwy,Eugene,Oregon,97408,(541) 345-9160,riverridgeor.com,Rick Jeffries,Rick Jeffries,Public,18,1989,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,71,6256,116,68.60,71,6007,112,67.20,71,5166,112,67.70,,courses-data-18139
riverridge-golf-complex-suttonridge,"RiverRidge Golf Complex, SuttonRidge",3800 N Delta Hwy,3800 N Delta Hwy,Eugene,Oregon,97408,(541) 345-9160,riverridgeor.com,Rick Jeffries,Rick Jeffries,Public,18,1989,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,71,6256,116,68.60,71,6007,112,67.20,71,5166,112,67.70,,courses-data-18139
sunset-grove-golf-course,Sunset Grove Golf Course,41615 NW Osterman Rd,41615 NW OSterman Rd,Forest Grove,Oregon,97116,(503) 357-6044,,Ellis Vandehey,Ellis Vandehey,Public,9,1961,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,3001,103,33.00,37,2715,107,34.00,,courses-data-18139
gearhart-golf-links,Gearhart Golf Links,1157 N Marion Ave,N Marion St,Gearhart,Oregon,97138,(503) 738-3538,www.gearhartgolflinks.com,,(R) Bill Robinson,Public,18,1913,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,72,6089,112,67.90,74,5882,123,72.70,,courses-data-18139
highlands-golf-club,Highlands Golf Club,33260 Highlands Ln,1 Highland Rd,Gearhart,Oregon,97138,(503) 738-5248,www.discountdansgolf.com,George Marshall,George Marshall,Public,9,1987,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,No,,,,,30,1741,,,30,1741,,,,courses-data-18139
the-childrens-course,The Children's Course,19825 River Rd,19825 River Rd,Gladstone,Oregon,97027,(503) 722-1530,www.thefirstteechildrenscourse.org,Charles Thomas,,Public,9,1960,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,No,28,1480,,,28,1185,,,28,910,,,,courses-data-18139
salishan-spa-and-golf-resort,Salishan Spa and Golf Resort,PO Box 118,Hwy 101,Gleneden Beach,Oregon,97388,(541) 764-3632,www.salishan.com,Fred Federspiel,(R)Jacobsen Hardy Golf Course Design,Resort,18,1965,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,Yes,$$,$$,Yes,Yes,72,6453,132,72.30,72,6203,130,70.40,73,5389,128,72.30,,courses-data-18139
cedar-bend-golf-course,Cedar Bend Golf Course,34391 Cedar Valley Rd,34391 Squaw Valley Rd,Gold Beach,Oregon,97444,(541) 247-6911,www.cedarbendgolf.com,John Zoller,John Zoller,Semi-Private,9,1969,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,36,3000,115,33.80,37,2605,116,35.40,,courses-data-18139
applegate-river-golf,Applegate River Golf,7350 New Hope Rd,7350 New Hope Rd,Grants Pass,Oregon,97527,(541) 955-0480,,John Briggs,John Briggs,Public,9,1994,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,No,,,,,36,2612,110,32.90,36,2446,120,34.20,,courses-data-18139
colonial-valley-links,Colonial Valley Links,75 Nelson Way,75 Nelson Way,Grants Pass,Oregon,97526,(541) 479-5568,,John Nelson,John Nelson,Public,9,1925,Open,None,year round,Yes,Yes,,No,$,$,Yes,Yes,,,,,29,1587,,54.00,31,1587,,56.00,,courses-data-18139
dutcher-creek-golf-course,Dutcher Creek Golf Course,4611 Upper River Rd,4611 Upper River Rd,Grants Pass,Oregon,97526,(541) 474-2188,www.dutchercreek.com,Dutcher Creek Ent.,Rich Ward,Public,9,1994,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,36,3261,118,35.80,36,3022,113,34.80,36,2554,117,35.90,,courses-data-18139
red-mountain-golf-course,Red Mountain Golf Course,324 Mountain Greens Ln,324 N Schoolhouse Creek Rd,Grants Pass,Oregon,97526,(541) 479-2297,,Bob Snook,Robert Snook,Public,9,1988,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,No,No,,,,,28,1118,,,29,1118,,,,courses-data-18139
grants-pass-golf-club,Grants Pass Golf Club,230 Espey Rd,230 Espey Rd,Grants Pass,Oregon,97527,(541) 476-0849,www.grantspassgolfclub.com,,,Semi-Private,18,1948,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6425,131,71.50,72,6101,128,69.80,73,5300,121,71.40,,courses-data-18139
gresham-golf-course,Gresham Golf Course,2155 NE Division St,2155 NE Division St,Gresham,Oregon,97030,(503) 665-3352,,Ed Hogan,Sam Wolsborn/Eddie Hogan,Semi-Private,18,1965,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6012,109,68.30,72,5814,105,67.30,72,5284,107,69.00,,courses-data-18139
persimmon-country-club,Persimmon Country Club,500 SE Butler Rd,500 SE Butler Rd,Gresham,Oregon,97080,(503) 661-1800,www.Persimmoncc.com,Gene Bunny Mason,Gene Mason,Semi-Private,18,1992,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,Yes,$$,$$,Yes,Included in fee,72,6678,125,71.20,72,6229,122,69.50,72,5634,122,70.30,,courses-data-18139
willow-creek-country-club,Willow Creek Country Club,State Route 74,53726 Hwy 74,Heppner,Oregon,97836,(541) 676-5437,,,,Public,9,1954,Open,None,year round,No,Yes,,No,$,$,No,No,,,,,30,1725,82,29.10,30,1725,82,29.20,,courses-data-18139
killarney-west-golf-club,Killarney West Golf Club,1275 NW 334th Ave,1275 NW 334th Ave,Hillsboro,Oregon,97124,(503) 648-7634,,Hank Van Grunsven,Hank Van Grunsven,Public,9,1979,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,2544,108,,36,2544,,,,courses-data-18139
meriwether-national-golf-course-executive,"Meriwether National Golf Course, Executive",5200 SW Rood Bridge Rd,5200 SW Roodbridge Rd,Hillsboro,Oregon,97123,(503) 648-4143,www.meriwethergolfclub.com,Dave Powers,Dave Powers,Public,18,1993,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6752,115,71.30,72,6329,111,69.10,72,5665,114,72.30,,courses-data-18139
meriwether-national-golf-course-north,"Meriwether National Golf Course, North",5200 SW Rood Bridge Rd,5200 SW Roodbridge Rd,Hillsboro,Oregon,97123,(503) 648-4143,www.meriwethergolfclub.com,Dave Powers,Fred Federspiel,Public,18,1993,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6752,115,71.30,72,6329,111,69.10,72,5665,114,72.30,,courses-data-18139
